,iOS,iOS_pi_lower,iOS_pi_upper,Android,Android_pi_lower,Android_pi_upper,mobile_web,mobile_web_pi_lower,mobile_web_pi_upper,web,web_pi_lower,web_pi_upper,Total,Total_pi_lower,Total_pi_upper
2019-06-02,517800.8252407159,409291.50024051405,626310.1502409177,195113.7125113443,95757.16767204927,294470.2573506393,248286.98367427348,144695.78854146093,351878.178807086,743582.8078677511,288570.32620855904,1198595.2895269431,1704784.3292940848,938314.7826625833,2471253.875925586
2019-06-09,546013.8720168319,435516.0630165082,656511.6810171556,195093.2490868388,93529.415110198,296657.08306347963,264328.74531138834,158577.21822257858,370080.2724001981,793572.9114390147,330540.5465074383,1256605.276370591,1799008.7778540738,1018163.2428567231,2579854.3128514243
2019-06-16,494108.6927908724,381657.5545588423,606559.8310229025,203471.7721301208,99747.34213092583,307196.2021293158,258141.05369837538,150272.44942495102,366009.6579717997,705918.8866768584,235002.7834236283,1176834.9899300886,1661640.405296227,866680.1295383475,2456600.681054107
2019-06-23,506389.28653795866,392018.17306679377,620760.4000091235,214588.51709618568,108747.32987250398,320429.70431986736,261730.61951481993,151785.69456988835,371675.5444597515,657814.8696988075,179144.46895330632,1136485.2704443086,1640523.2928477717,831695.6664624924,2449350.919233051
2019-06-30,558544.3776621548,442284.9908045449,674803.7645197648,211955.55237426446,104038.87207174976,319872.23267677915,258697.0440691305,146714.28827176796,370679.79986649303,761290.4714684976,274989.0433070934,1247591.8996299019,1790487.4455740475,968027.1944551561,2612947.696692939
2019-07-07,549799.4286728685,431681.95015459176,667916.9071911452,208737.349044609,98784.1079065498,318690.5901826682,259795.77674720704,145811.61581220268,373779.9376822114,759352.4594371361,265537.57892054215,1253167.3399537299,1777685.0139018206,941815.2527938863,2613554.7750097546
2019-07-14,583301.653454604,463354.86258035153,703248.4443288564,207398.87536349182,95445.88560363019,319351.86512335343,260943.2864125594,144992.26006630238,376894.3127588164,743159.3824019345,241943.35545112775,1244375.4093527412,1794803.1976325898,945736.3637014119,2643870.031563767
2019-07-21,528621.5570626844,406872.93604809523,650370.1780772737,197565.5895486366,83647.72921929714,311483.4498779761,278762.6967123343,160877.61600942945,396647.77741523914,692434.8715398158,183925.1174769532,1200944.6256026784,1697384.7148634712,835323.398753775,2559446.030973167
2019-07-28,544243.359306837,420719.18786010507,667767.5307535689,201152.32960661064,85302.70642668198,317001.95278653933,232014.19627971546,112226.28314228875,351802.1094171422,761012.801307343,245312.19757343567,1276713.4050412502,1738422.686500506,863560.3750025115,2613284.9979985002
2019-08-04,514045.159402538,388770.59992604546,639319.7188790304,196888.8024878335,79138.89888058316,314638.70609508385,236338.01903934183,114677.03052109732,357999.00755758636,830291.2024603004,307498.3961880395,1353084.0087325613,1777563.1833900139,890084.9255157656,2665041.441264262
2019-08-11,503574.51131167315,376573.6858864776,630575.3367368687,192997.63569314653,73377.43771668033,312617.8336696127,231793.13931168403,108287.47867139139,355298.7999519767,803942.7145553996,274152.40498708957,1333733.0241237096,1732308.0008719033,832391.0072616389,2632224.994482168
2019-08-18,481041.81332136283,352337.8734659255,609745.7531768002,191308.44422159763,69846.55662099204,312770.33182220324,209874.83474327577,84551.65107486023,335198.0184116913,841899.2147866674,305202.4099553941,1378596.0196179408,1724124.3070729035,811938.491117172,2636310.1230286355
2019-08-25,441762.853521265,311378.0435734552,572147.6634690748,176637.61692678952,53361.36617115297,299913.86768242606,186137.67877856886,59022.95667020498,313252.40088693274,804678.0087838287,261162.259398554,1348193.7581691034,1609216.158010452,684924.6258133671,2533507.690207537
2019-09-01,420927.1083265431,288882.8231791439,552971.3934739423,177040.65798207626,51976.18485290671,302105.13111124584,173585.4192201387,44704.05968963393,302466.7787506435,849156.8011816945,298906.41425639123,1399407.1881069979,1620709.9867104525,684469.4819780757,2556950.4914428294
2019-09-08,447329.67330866784,313646.51112895925,581012.8354883764,184967.63842192656,58139.98147657963,311795.2953672735,189863.61542705947,59239.50919527588,320487.72165884305,798053.8461219106,241150.08055121207,1354957.6116926093,1620214.7732795645,672176.0823520268,2568253.4642071025
2019-09-15,432966.3204616786,297664.13094170525,568268.509981652,191141.96971741144,62575.140752115214,319708.79868270765,198968.25520905896,66624.3492193442,331312.1611987737,809198.2055817215,245719.4515796993,1372676.9595837437,1632274.7509698705,672583.072492864,2591966.429446877
2019-09-22,438240.0272298815,301337.95584294293,575142.0986168201,179158.45846256343,48875.51093458131,309441.4059905455,192420.17010630955,58378.52806977849,326461.8121428406,689674.8911263401,119696.83520200884,1259652.9470506716,1499493.5469250947,528288.8300493115,2470698.2638008776
2019-09-29,414324.36733712285,275840.89601562324,552807.8386586225,175671.23655361685,43694.327785141795,307648.1453220919,184202.52314607243,48484.380785285146,319920.6655068597,729486.855092002,153082.63202772872,1305891.0781562752,1503684.982128814,521102.23661377886,2486267.7276438493
2019-10-06,427357.48610036384,287310.4706986182,567404.5015021095,172503.09784906195,38853.54572094377,306152.6499771801,178659.24552599157,41285.06109929891,316033.4299526842,734582.4786532032,151822.81177448947,1317342.145531917,1513102.3081286205,519271.8892933504,2506932.7269638907
2019-10-13,444816.5320905493,303223.236951995,586409.8272291035,178448.48021965008,43146.814966941456,313750.1454723587,174552.39573412068,35541.896346653026,313562.8951215884,762405.5095806597,173358.8404529621,1351452.1787083573,1560222.9176249797,555270.7887185515,2565175.046531408
2019-10-20,434624.53604900016,291501.6659593148,577747.4061386855,176943.7708719742,40009.78251221278,313877.7592317356,163860.85800773397,23233.08215025335,304488.6338652146,735883.5707561052,140616.17931252986,1331150.9621996805,1511312.7356848135,495360.70993431075,2527264.761435316
2019-10-27,431664.86894916213,287028.598724053,576301.1391742713,170619.09696070995,32071.87881717799,309166.31510424195,174374.02684320358,32147.363544854103,316600.69014155306,746622.7376018688,136315.21321566147,1356930.2619880761,1523280.7303549445,487563.05430174654,2558998.4064081423
2019-11-03,421105.1168019315,274971.11873003223,567239.1148738308,168803.89296316184,28661.88168694661,308945.90423937707,170193.4950545908,26385.719988373923,314001.2701208077,796443.2652418008,180129.36799721047,1412757.1624863911,1556545.770061485,510148.08840256324,2602943.4517204068
2019-11-10,416340.38849449804,268723.85783121083,563956.9191577852,167719.86492326896,26000.87736805863,309438.85247847927,181452.65417400093,36080.96301326703,326824.3453347348,708629.1239763267,86366.73296281183,1330891.5149898415,1474142.0315680946,417172.43117534835,2531111.631960841
2019-11-17,428395.6089254045,279311.28761211317,577479.9302386958,170460.1256859558,27181.392946739594,313738.85842517205,167916.66788028978,20997.707169610658,314835.6285909689,660373.9222491584,32219.2774715157,1288528.567026801,1427146.3247408085,359709.6651999791,2494582.9842816377
2019-11-24,454816.1913759714,304278.3901403418,605353.992611601,180526.22431015043,35704.42320020232,325348.02542009857,175462.35997058733,27012.255744181253,323912.4641969934,763706.7727852651,129714.55107053963,1397698.9944999907,1574511.5484419744,496709.620155265,2652313.476728684
2019-12-01,421276.19651216344,269298.8154888738,573253.577535453,172356.68069975506,26007.962908523215,318705.3984909869,170329.5779370856,20363.96229177856,320295.19358239265,761633.9725903581,121857.3586592942,1401410.586521422,1525596.4277393622,437528.09934846975,2613664.756130255
2019-12-08,431148.0372861152,277744.58528297424,584551.4892892563,172253.82352580852,24393.842672828556,320113.80437878845,168907.50117136393,17441.536978290504,320373.4653644373,745313.626258942,99804.37935130077,1390822.873166583,1517622.9882422294,419384.34428539407,2615861.632199065
2019-12-15,425346.43170906074,270530.0442308125,580162.8191873089,174325.30471095323,24969.241487010644,323681.3679348958,168191.06096669397,15239.464886064961,321142.65704732295,694468.9455441232,43277.46194952587,1345660.4291387205,1462331.7429308312,354016.21255341405,2570647.2733082483
2019-12-22,409315.39561269246,253098.8517436361,565531.9394817489,188129.51949609403,37292.105062042276,338966.9339301458,171568.75845152076,17145.822397394368,325991.6945056472,762933.4088753025,106108.78068783355,1419758.0370627716,1531947.0824356098,413645.5598909063,2650248.604980313
2019-12-29,421503.18393711234,263898.9221737811,579107.4457004436,187232.64806634613,34928.18586179422,339537.11027089803,179354.8105642413,23474.42175097819,335235.1993775044,832104.6730726245,169694.74345768883,1494514.60268756,1620195.3156403243,491996.2732442423,2748394.3580364063
2020-01-05,477966.8603371119,312226.3673567658,643707.3533174581,165242.39038858298,11350.477650886809,319134.30312627915,200342.9407176876,40547.87401235185,360138.00742302334,805655.0246163543,137706.4398517789,1473603.6093809297,1649207.216059737,501831.15887178335,2796583.2732476904
