,ds,iOS,iOS_pi_lower,iOS_pi_upper,web,web_pi_lower,web_pi_upper,Android,Android_pi_lower,Android_pi_upper,mobile_web,mobile_web_pi_lower,mobile_web_pi_upper,Total,Total_pi_lower,Total_pi_upper
17,2018-02-23,53451.1723014553,46359.191302554485,60564.42984131671,68068.18471779797,49928.1815566582,84438.97818646736,23138.37638642708,20466.13589263475,25972.462926373446,22734.892780645165,19106.942928863435,25901.889052371476,167392.6261863255,135860.45168071086,196877.760006529
18,2018-02-24,49796.91659460056,42718.00857447295,56679.52850804762,37734.10379743526,19562.21825961098,55405.65989188694,21937.652622199843,19178.88106070037,24726.18618507272,22081.883691635987,18548.99781061502,25624.0683162642,131550.55670587166,100008.10570539933,162435.44290127148
19,2018-02-25,52363.286093891205,45393.30818876087,59519.25325005121,42436.85178556038,25515.485933214375,60658.89979304319,22480.608220892536,19859.174597175926,25071.911480802137,23375.302561975506,19866.2229367731,26763.00287547106,140656.04866231963,110634.19165592428,172013.06739936757
20,2018-02-26,57055.52977435258,50357.37717543015,63718.02839967445,83217.97304417974,66239.46074886524,100471.02907876146,24244.590909371866,21279.07296304097,26957.827479472275,24925.98706266649,21357.326590686025,28626.989076866084,189444.08079057068,159233.23747802238,219773.87403477426
21,2018-02-27,56917.938838508126,49749.24012819134,63753.93687343704,83562.61281095065,66515.36768320343,99543.17485706022,24599.530162048377,21867.441875822067,27065.071049718525,25189.527285683707,21466.234599059437,28721.120111305867,190269.60909719084,159598.28428627626,219083.3028915217
22,2018-02-28,56779.958960874435,50038.07248713574,63765.2709188171,83600.25953456783,66578.0407420089,101893.21893377935,24666.85085571073,22021.19228431185,27418.52299218977,24629.196698261625,21256.309511341027,28044.055364501106,189676.26604941464,159893.61502479753,221121.06820928733
23,2018-03-01,55943.38268957692,48715.01942864196,62999.307451687426,80697.84002671303,63134.550250337285,97138.10205176398,24310.80784970655,21565.285958073782,26881.506950171897,24117.766617920744,21020.801329072205,27529.359191926185,185069.79718391725,154435.65696612524,214548.2756455495
24,2018-03-02,53411.96433779665,45917.34991612142,60379.86702755776,70577.89340022141,53599.85898333579,87494.44463264817,23474.162006024508,20893.554050441246,26215.826078759375,23129.294687453497,19487.219281529044,26374.523027357183,170593.31443149608,139897.9822314275,200464.66076632251
25,2018-03-03,49981.289289989,42930.29015902645,57086.68518367318,41569.78855274283,24835.18142088863,58640.75327109395,22311.8094813782,19739.48311532405,25166.336578160503,22457.163555675117,19168.080743570903,25911.183856501502,136320.05087978515,106673.03543881004,166804.95888942914
26,2018-03-04,52786.75015360456,45655.843277967,59494.02803708346,47553.884886266176,31094.34325142596,66196.71821416907,22896.27048669204,20408.01275345208,25576.928382347676,23741.1488855714,20201.554951439844,27122.842695368025,146978.0544121342,117359.75423428489,178390.51732896824
